country_iso3,country,indicator,indicator_name,year,value
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2023,18270356654533.2
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2022,18316765021690.2
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2021,18201698719564.0
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2020,14996414166715.1
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2019,14560167101283.4
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2018,14147765772963.8
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2017,12537559062282.9
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2016,11456024084962.0
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2015,11280814787468.9
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2014,10674533168257.4
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2013,9743124247267.24
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2012,8673664713189.24
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2011,7671757207851.29
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2010,6192564874453.29
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2009,5189577094997.58
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2008,4667346414521.95
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2007,3604055822571.63
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2006,2791498472804.33
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2005,2317551298052.05
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2004,1984196551300.44
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2003,1683903309843.85
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2002,1489821682050.54
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2001,1355036590251.52
CHN,China,NY.GDP.MKTP.CD,GDP (current US$),2000,1223754919971.05
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2024,19497115588443.6
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2023,18659133072074.8
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2022,17023612496380.4
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2021,17495226733585.2
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2020,15504055464107.4
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2019,15809073096211.4
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2018,16092403309151.5
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2017,14871313684625.8
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2016,13988147697216.6
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2015,13656252620703.3
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2014,15763596442222.6
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2013,15398507628838.6
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2012,14731876146120.7
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2011,15874713437636.1
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2010,14641773544950.6
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2009,14844813523140.0
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2008,16364455236166.7
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2007,14789471689508.0
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2006,12768357074578.4
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2005,11954349375612.0
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2004,11449101966447.2
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2003,9956860723577.65
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2002,8100430284893.67
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2001,7407615944962.45
EUU,European Union,NY.GDP.MKTP.CD,GDP (current US$),2000,7288481048952.25
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2024,1396300098190.97
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2023,1371169301563.62
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2022,1319101183380.15
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2021,1186509691086.73
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2020,1059054842698.48
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2019,1119099871350.2
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2018,1042271532988.63
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2017,1015618744159.73
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2016,931877364037.698
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2015,860854232686.214
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2014,890814755533.537
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2013,912524136718.018
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2012,917869913332.649
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2011,892969104563.171
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2010,755094157621.936
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2009,539580085612.401
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2008,510228634992.258
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2007,432216737774.861
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2006,364570515618.357
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2005,285868619196.085
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2004,256836875295.452
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2003,234772463823.808
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2002,195660611165.183
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2001,160446947784.909
IDN,Indonesia,NY.GDP.MKTP.CD,GDP (current US$),2000,165021012077.81
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2024,4027597523550.58
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2023,4213167237905.83
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2022,4262463317796.53
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2021,5039148168861.22
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2020,5054068005376.28
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2019,5117993853016.51
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2018,5040880939324.86
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2017,4930837369151.42
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2016,5003677627544.24
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2015,4444930651964.18
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2014,4896994405353.29
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2013,5212328181166.18
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2012,6272362996105.03
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2011,6233147172341.35
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2010,5759071769013.11
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2009,5289493117993.89
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2008,5106679115127.3
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2007,4579750920354.81
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2006,4601663122649.92
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2005,4831467035389.8
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2004,4893116005656.56
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2003,4519561645253.53
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2002,4182846045873.61
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2001,4374711694090.87
JPN,Japan,NY.GDP.MKTP.CD,GDP (current US$),2000,4968359075956.59
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2024,46352647037.2406
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2023,42335646895.7984
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2022,39994532959.6074
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2021,36790163687.4421
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2020,34818073901.4851
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2019,36685356407.7206
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2018,33145892168.8958
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2017,29355665909.7905
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2016,26556545153.3573
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2015,24174170369.0738
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2014,22041463967.9009
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2013,19807135252.8649
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2012,17826536699.8016
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2011,16032622023.8265
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2010,13808673288.0696
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2009,12502901169.7377
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2008,12174303999.0812
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2007,10127916459.8983
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2006,8350531016.65753
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2005,7066296463.3598
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2004,5883297159.87352
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2003,5046693484.31767
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2002,4501227626.62752
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2001,4145665969.92864
KHM,Cambodia,NY.GDP.MKTP.CD,GDP (current US$),2000,3694168979.32019
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2024,1875388209406.8
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2023,1844800934391.54
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2022,1799363116866.52
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2021,1942313560965.9
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2020,1744070276373.34
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2019,1751045752054.63
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2018,1824251454306.83
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2017,1710196756713.17
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2016,1579150518945.44
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2015,1539212301135.55
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2014,1556252422020.44
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2013,1434669686501.84
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2012,1335343586437.67
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2011,1307103477219.1
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2010,1192830015737.68
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2009,983065242417.36
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2008,1091580692542.34
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2007,1220911904593.06
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2006,1095175538508.19
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2005,971740329983.878
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2004,823251107638.814
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2003,728516494684.269
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2002,650014391470.21
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2001,567564806235.441
KOR,"Korea, Rep.",NY.GDP.MKTP.CD,GDP (current US$),2000,597487173479.109
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2024,16502933121.3379
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2023,15843155731.2552
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2022,15468785203.7532
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2021,18827148530.9347
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2020,18981805250.2424
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2019,18740561512.5555
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2018,18141641089.7963
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2017,17071155481.4994
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2016,15912501722.6143
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2015,14426380125.6488
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2014,13279245886.3854
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2013,11983252626.5452
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2012,10192846339.4029
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2011,8750104617.17303
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2010,7131771014.70456
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2009,5836137329.63305
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2008,5446433157.40114
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2007,4223152739.04052
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2006,3455030060.9785
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2005,2735558734.7379
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2004,2366398119.86321
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2003,2023324407.28414
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2002,1758176653.07746
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2001,1768619058.34647
LAO,Lao PDR,NY.GDP.MKTP.CD,GDP (current US$),2000,1731198022.46763
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2024,74068349523.8095
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2023,66757619000.0
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2022,62253049903.28
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2021,66345291149.4433
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2020,79006113670.2831
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2019,75065106243.3578
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2018,67860515993.1186
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2017,66053040475.0257
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2016,63298361983.5653
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2015,59607290408.4359
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2014,65531374210.3224
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2013,60269732854.827
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2012,59937796648.2158
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2011,59977326085.9908
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2010,49540813342.4834
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2009,36906181380.8127
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2008,31862554101.9378
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2007,20182477480.5512
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2006,14502553709.8303
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2005,11986972418.5103
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2004,10567354056.4049
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2003,10467109977.6717
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2002,6777632512.0781
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2001,6477790688.22844
MMR,Myanmar,NY.GDP.MKTP.CD,GDP (current US$),2000,8905066163.58643
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2024,422227005428.688
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2023,399949418752.657
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2022,407830525989.553
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2021,373784553029.978
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2020,337456163961.211
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2019,365177721021.516
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2018,358788845712.53
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2017,319109094160.343
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2016,301256033870.334
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2015,301355266964.947
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2014,338066095097.254
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2013,323276235524.415
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2012,314443047642.111
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2011,297951668674.835
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2010,255017638455.59
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2009,202257453036.641
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2008,230811614370.384
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2007,193549569477.733
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2006,162692258307.056
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2005,143534405818.501
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2004,124749473684.211
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2003,110202368421.053
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2002,100845526315.789
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2001,92783947368.4211
MYS,Malaysia,NY.GDP.MKTP.CD,GDP (current US$),2000,93789736842.1053
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2024,461617509782.355
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2023,437055627244.424
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2022,404353369604.631
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2021,394087359848.11
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2020,361751145451.597
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2019,376823402239.136
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2018,346841896587.313
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2017,328480736802.76
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2016,318627003016.731
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2015,306445871242.322
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2014,297483555338.044
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2013,283902828588.718
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2012,261920540962.63
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2011,234216730291.32
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2010,208368893151.144
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2009,175974755881.372
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2008,181624626327.361
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2007,155980408673.403
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2006,127652926368.069
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2005,107419977318.166
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2004,95001999685.3314
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2003,87039092974.2272
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2002,84307345887.543
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2001,78921234457.5487
PHL,Philippines,NY.GDP.MKTP.CD,GDP (current US$),2000,83669788376.9213
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2024,547386645891.847
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2023,505439514078.019
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2022,509017841146.557
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2021,436591382250.464
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2020,349165858544.568
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2019,376161998830.048
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2018,377123710560.614
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2017,343673334902.33
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2016,319646468521.497
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2015,307998545269.398
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2014,314863580758.455
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2013,307576360584.992
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2012,295092888076.589
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2011,279356499090.458
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2010,239807980591.24
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2009,194150283771.566
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2008,193617323539.203
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2007,180941701357.97
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2006,148627286361.351
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2005,127807848728.398
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2004,115033593101.049
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2003,97646401095.6369
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2002,92538372869.6942
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2001,89793790669.6515
SGP,Singapore,NY.GDP.MKTP.CD,GDP (current US$),2000,96076539925.7409
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2024,526517658841.684
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2023,515906283940.933
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2022,495644697587.661
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2021,506194668789.937
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2020,500461898480.246
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2019,543976691793.886
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2018,506754208404.485
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2017,456356813536.764
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2016,413366349747.508
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2015,401296238228.084
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2014,407339040197.651
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2013,420333654592.547
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2012,397558325278.579
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2011,370818739623.622
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2010,341104766329.17
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2009,281710630187.319
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2008,291382982430.951
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2007,262942621455.053
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2006,221758296021.621
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2005,189318408468.595
THA,Thailand,NY.GDP.MKTP.CD,GDP (current US$),2004,172895685154.658
